,Downtown Los Angeles South Bay Division 1,Los Angeles, CA,Division 1,http://division1.upsl.com/teams/downtown-los-angeles-south-bay-division-1-546632,
,Downtown Los Angeles U15 Purple,Los Angeles, CA,Academy Boys,http://academyboys.upsl.com/teams/downtown-los-angeles-u15-purple-217570,
,Downtown Los Angeles U15 White,Los Angeles, CA,Academy Boys,http://academyboys.upsl.com/teams/downtown-los-angeles-u15-white-36984,
,Downtown Los Angeles U17,Los Angeles, CA,Academy Boys,http://academyboys.upsl.com/teams/downtown-los-angeles-u17-609832,
,Dream FC,Gaithersburg, MD,Premier,https://premier.upsl.com/teams/dream-fc-870513,
,DV7 Academy U13,Queens, New York, NY,Academy Boys,http://academyboys.upsl.com/teams/dv7-academy-u13-518845,
,Eagles Football Club,Grand Island Nebraska, NE,Premier,https://premier.upsl.com/teams/eagles-football-club-4352,
,East Coast FC,Long Island, NY,Division 1,http://division1.upsl.com/teams/east-coast-fc-560305,
,East County Revolution FC,Brentwood, CA,Premier,https://premier.upsl.com/teams/east-county-revolution-fc-164477,
,East Lake Soccer FC,Chula Vista, CA,Premier,https://premier.upsl.com/teams/east-lake-soccer-fc-367920,
,El Paso Rush ACM3,El Paso, TX,Premier,https://premier.upsl.com/teams/el-paso-rush-acm3-718034,
,El Paso Surf,El Paso, TX,Premier,https://premier.upsl.com/teams/el-paso-surf-414359,
,Elite Players Center,Brooklyn , NY,Division 1,http://division1.upsl.com/teams/elite-players-center-985956,
,Elk Grove Blues,Elk Grove, CA,Premier,https://premier.upsl.com/teams/elk-grove-blues-76194,
,Empire SC,Weston, FL,Division 1,http://division1.upsl.com/teams/empire-sc-280203,
,Empire Surf,Temecula, CA,Women,http://women.upsl.com/teams/empire-surf-164589,
,Emporia F.C.,Emporia, KS,Premier,https://premier.upsl.com/teams/emporia-f-c-904988,
,Escondido FC,Escondido, CA,Premier,https://premier.upsl.com/teams/escondido-fc-64042,
,FADP Footballers Academy,Lake Elsinore, CA,Division 1,http://division1.upsl.com/teams/fadp-footballers-academy-28503,
,FBS FC,Miami, FL,Division 1,http://division1.upsl.com/teams/fbs-fc-45830,
,FC Arizona,Chandler, AZ,Premier,https://premier.upsl.com/teams/fc-arizona-82996,
,FC Arizona D1,Chandler, AZ,Division 1,http://division1.upsl.com/teams/fc-arizona-d1-476066,
,FC Atlanta Academy,Atlanta, GA,Division 1,http://division1.upsl.com/teams/fc-atlanta-academy-14586,
,FC Berlin,Buffalo, NY,Premier,https://premier.upsl.com/teams/fc-berlin-91973,
,FC Birmingham,Birmingham, AL,Premier,https://premier.upsl.com/teams/fc-birmingham-60995,
,FC Birmingham Academy,AL,Division 1,http://division1.upsl.com/teams/fc-birmingham-academy-151709,
,FC Birmingham II,Birmingham, AL,Division 1,http://division1.upsl.com/teams/fc-birmingham-ii-511280,
,FC Caliber,Federal Way, WA,Premier,https://premier.upsl.com/teams/fc-caliber-480638,
,FC Cincinnati Academy,Cincinnati, OH,Premier,https://premier.upsl.com/teams/fc-cincinnati-academy-315147,
,FC Dallas Academy,Frisco, TX,Premier,https://premier.upsl.com/teams/fc-dallas-academy-559915,
,FC Dallas Dynamo,Dallas, TX,Premier,https://premier.upsl.com/teams/fc-dallas-dynamo-224819,
,FC Davis,Davis, CA,Premier,https://premier.upsl.com/teams/fc-davis-334848,
,FC Folsom,Folsom, CA,Premier,https://premier.upsl.com/teams/fc-folsom-637327,
,FC Fuego,Sierra Vista , AZ,Division 1,http://division1.upsl.com/teams/fc-fuego-271175,
,FC Hurst United,Hurst, TX,Division 1,http://division1.upsl.com/teams/fc-hurst-united-929934,
,FC Juarez Academy,San Bernardino, CA,Division 1,http://division1.upsl.com/teams/fc-juarez-academy-278123,
,FC Juarez Academy CYSA,San Bernardino, CA,Women,http://women.upsl.com/teams/fc-juarez-academy-cysa-412419,
,Fc Juarez Academy CYSA U15,CA,Academy Boys,http://academyboys.upsl.com/teams/fc-juarez-academy-cysa-u15-774579,
,Fc Juarez Academy Leoncitos U13,CA,Academy Boys,http://academyboys.upsl.com/teams/fc-juarez-academy-leoncitos-u13-953799,
,Fc Juarez Academy SB U13,CA,Academy Boys,http://academyboys.upsl.com/teams/fc-juarez-academy-sb-u13-963529,
,FC Revolution,Fort Worth, TX,Division 1,http://division1.upsl.com/teams/fc-revolution-853043,
,FD Football Club,Orlando, FL,Division 1,http://division1.upsl.com/teams/fd-football-club-734305,
