30,in, #26 Beverly Bandits ,,https://selectbaseballteams.com/softball/organization/spencer/in/beverly-bandits/,,,,,,,123-456-7890,,,Indoor Facilities,Outdoor Facilities,,,Paid Coaches,,,101 Main St.,Spencer, IN,,,,,,
30,in, #27 Indiana Primetime ,,https://selectbaseballteams.com/softball/organization/new-palestine/in/indiana-primetime/,,,,,,,123-456-7890,,,Indoor Facilities,Outdoor Facilities,,,Paid Coaches,,,101 Main St.,New Palestine, IN,,,,,,
30,in, #28 Summit City Thunder ,,https://selectbaseballteams.com/softball/organization/leo-cedarvle/in/summit-city-thunder/,,,,,,,123-456-7890,,,Indoor Facilities,Outdoor Facilities,,,Paid Coaches,,,101 Main St.,LEO-CEDARVLE, IN,,,,,,
30,in, #29 Southern Indiana Red Birds ,,https://selectbaseballteams.com/softball/organization/in/southern-indiana-red-birds/,,,,,,,123-456-7890,,,Indoor Facilities,Outdoor Facilities,,,Paid Coaches,,,101 Main St.,IN,,,,,,,
30,in, #30 Powerhouse Softball 16U- Lundy ,,https://selectbaseballteams.com/softball/organization/indianapolis/in/powerhouse-softball-16u-lundy/,,,,,,,123-456-7890,,,Indoor Facilities,Outdoor Facilities,,,Paid Coaches,,,101 Main St.,Indianapolis, IN,,,,,,
30,in, #31 Indy Crush Premier 16U ,,https://selectbaseballteams.com/softball/organization/indianapolis/in/indy-crush-premier-16u/,,,,,,,123-456-7890,,,Indoor Facilities,Outdoor Facilities,,,Paid Coaches,,,101 Main St.,Indianapolis, IN,,,,,,
30,in, #32 Inferno ,,https://selectbaseballteams.com/softball/organization/kokomo/in/inferno/,,,,,,,123-456-7890,,,Indoor Facilities,Outdoor Facilities,,,Paid Coaches,,,101 Main St.,Kokomo, IN,,,,,,
30,in, #33 Southern Indiana Outlaws 16U ,,https://selectbaseballteams.com/softball/organization/evansville/in/southern-indiana-outlaws-16u/,,,,,,,123-456-7890,,,Indoor Facilities,Outdoor Facilities,,,Paid Coaches,,,101 Main St.,Evansville, IN,,,,,,
30,in, #34 TLR Sports Training ,,https://selectbaseballteams.com/softball/organization/indianapolis/in/tlr-sports-training/,,,,,,,123-456-7890,,,Indoor Facilities,Outdoor Facilities,,,Paid Coaches,,,101 Main St.,Indianapolis, IN,,,,,,
30,in, #35 Indy Dreams Gold ,,https://selectbaseballteams.com/softball/organization/muncie/in/indy-dreams-gold/,,,,,,,123-456-7890,,,Indoor Facilities,Outdoor Facilities,,,Paid Coaches,,,101 Main St.,Muncie, IN,,,,,,
30,in, #36 True Impact ,,https://selectbaseballteams.com/softball/organization/topeka/in/true-impact/,,,,,,,123-456-7890,,,Indoor Facilities,Outdoor Facilities,,,Paid Coaches,,,101 Main St.,Topeka, IN,,,,,,
30,in, #37 Michiana Repetition 16U (Gold) ,,https://selectbaseballteams.com/softball/organization/mishawaka/in/michiana-repetition-16u-gold/,,,,,,,123-456-7890,,,Indoor Facilities,Outdoor Facilities,,,Paid Coaches,,,101 Main St.,Mishawaka, IN,,,,,,
30,in, #38 Iliana Kaos 18U ,,https://selectbaseballteams.com/softball/organization/vincennes/in/iliana-kaos-18u/,,,,,,,123-456-7890,,,Indoor Facilities,Outdoor Facilities,,,Paid Coaches,,,101 Main St.,Vincennes, IN,,,,,,
